,0,1,2,3,4,5,6,7,8,9,10
3798,University of Wisconsin - Madison (UW),Political Science,"$20,000",0.88,2016-2017,1st,,"$20,000",,,
3799,University of Rhode Island (URI),Clinical Psychology,"$9,200",0.40,2017-2018,1st,,,"$9,200",,
3800,NYU,steinhadt,"$26,000",,2017-2018,,,"$26,000",,,
3801,University of Kansas (KU),American Studies,"$15,043",0.74,2017-2018,1st,,,"$15,500",,$457
3802,University of Wisconsin - Madison (UW),Materials Science and Engineering PhD Program ,"$25,000",1.09,2017-2018,1st,,"$25,000",,,
3803,Brown University,,"$39,000",1.71,2017-2018,1st,,"$39,000",,,
3804,Yale University (YU),Management,"$35,100",1.42,2017-2018,1st,,"$35,100",,,
3805,Dartmouth College,Engineering,"$28,000",1.13,2017-2018,1st,,"$28,000",,,
3806,Yale University (YU),Sociology,"$31,000",1.25,2017-2018,1st,"&#34;Stipend of at least $31,000 per year while you are enrolled&#34; - 2018-19.","$31,000",,,
3807,University of Maryland - Baltimore (UMB),Pharmaceutical Sciences,"$25,000",0.97,2017-2018,1st,,"$25,000",,,
3808,University of Utah,Biosciences,"$28,000",1.26,2017-2018,1st,Molecular Biology and Biological Chemistry Programs,"$28,000",,,
3809,Montana State University (MSU),Ecology,"$21,080",1.01,2017-2018,3rd,Includes additional pay to cover health insurance costs on ACA marketplace.,"$21,080",,,
3810,University of Colorado - Boulder (UCB),Neuroscience (MCDB),"$32,000",1.25,2017-2018,1st,,"$32,000",,,
3811,University of California - Los Angeles (UCLA),Psychology,"$40,610",1.57,2016-2017,4th,This was a T32 fellowship on top of serving as a TA every quarter.,"$41,000",,,$390
3812,University of California - San Diego (UCSD),Sociology,"$20,000",0.76,2017-2018,1st,Includes Health Insurance,"$52,121",,,"$32,121"
3813,Harvard University (HU),Sociology,"$34,632",1.21,2017-2018,1st,,,"$28,860","$5,772",
3814,Harvard University (HU),Biological and Biomedical Science,"$37,235",1.30,2017-2018,5th,,"$37,260",,,$25
3815,Tulane University (TU),aging,"$24,000",1.04,2017-2018,1st,,"$24,000",,,
3816,Stanford University (SU),N/A,"$40,000",1.39,2017-2018,1st,,"$40,000",,,
3817,University of Toledo,physics,"$24,000",1.28,2017-2018,1st,,,"$18,000","$6,000",
3818,Georgetown University,Spanish ,"$29,000",0.94,2017-2018,,,,"$29,000",,
3819,University of Mississippi Medical Center,Neuro,"$24,150",1.19,2016-2017,2nd,,"$24,150",,,
3820,,Biology ,"$30,000",,2016-2017,1st,,"$30,000",,,
3821,Boston University (BU),Biology ,"$30,000",1.05,2016-2017,1st,,"$30,000",,,
3822,Dartmouth College,Neuroscience,"$30,000",1.21,2017-2018,1st,,"$30,000",,,
3823,University of Texas - Arlington (UTA),Mechanical Engineering,"$16,000",0.73,2017-2018,1st,,"$18,000",,,"$2,000"
3824,Columbia University (CU),,"$39,000",1.31,2016-2017,1st,,"$39,000",,,
3825,Florida State University (FSU),Rhetoric and Composition ,,0.00,2017-2018,1st,,,"$1,500",,"$1,500"
3826,Stanford University (SU),Applied Physics,"$39,420",1.37,2017-2018,5th,,"$40,152",,,$732
3827,,,"$8,784",,2016-2017,,,,"$8,784",,
3828,Virginia Tech,"Genetics, Bioinformatics and Computational Biology","$27,000",1.28,2016-2017,1st,,"$27,000",,,
3829,Bowling Green State University (BGSU),Photochemical Sciences,"$18,800",1.00,2017-2018,1st,,,"$16,500","$4,300","$2,000"
3830,Johns Hopkins University (JHU),Biology,"$33,000",1.28,2017-2018,5th,"Stipend goes up yearly,  and cost of living is cheap here. Also, TAing in years 3 and up pays extra <span class=""truncated""> in most cases ($1,000-2,000 per semester)</span>","$33,000",,,
3831,Tribhuvan University,ALl,$620,,2016-2017,1st,,$720,,,$100
3832,Medical University of South Carolina,Biological Sciences,"$28,000",1.16,2017-2018,1st,,"$28,000",,,
3833,New York University (NYU),Biology,"$36,000",1.21,2016-2017,2nd,,"$36,000",,,
3834,Embry-Riddle Aeronautical University,Human Factors,"$15,000",,2017-2018,3rd,,"$15,000",,,
3835,Western Michigan University (WMU),Economics,"$12,400",0.61,2017-2018,2nd,,,"$12,400",,
3836,University of Oklahoma (OU),biology,"$14,000",0.70,2017-2018,3rd,,"$17,000",,,"$3,000"
3837,Mount Sinai School of Medicine,Neuroscience,"$34,000",1.14,2016-2017,2nd,,"$34,000",,,
3838,,,$200,,2016-2017,,,"$3,200",,,"$3,000"
3839,University of Toledo,Biological Sciences,"$25,526",1.36,2017-2018,,,"$25,526",,,
3840,University of Maryland - College Park (UMD),pharmaceutical sciences ,"$25,000",0.83,2017-2018,1st,,"$25,000",,,
3841,Drexel University (DU),Environmental Engineering,"$24,000",1.00,2017-2018,1st,,"$24,000",,,
3842,University of Notre Dame (ND),Theology,"$23,000",1.12,2017-2018,1st,,"$23,000",,,
3843,University of Arkansas - Fayetteville,Biological Sciences,"$39,000",1.95,2017-2018,1st,"Teaching Assistant stipend: $17,000
Distinguished Doctoral Fellowship: $22,000
Plus a full <span class=""truncated""> tuition waiver</span>","$39,000",,,
3844,University of Rochester (UR),Translational Biomedical Sciences,"$29,000",1.36,2017-2018,1st,,"$29,000",,,
3845,"University of Colorado, Boulder",Applied Mathematics,"$16,000",,2017-2018,3rd,,,"$18,000",,"$2,000"
3846,Ohio State University (OSU),Cognitive Psychology,"$25,800",1.29,2017-2018,1st,,"$25,800",,,
3847,,,"$28,000",,2016-2017,1st,,,"$28,000",,
3848,Michigan State University (MSU),Microbiology &amp; Molecular Genetics ,"$28,300",1.38,2017-2018,1st,,"$28,300",,,
