,0,1,2,3,4,5,6,7,8,9,10
12311,University of Pittsburgh,Bioengineering,"$29,970",1.45,2020-2021,3rd,,"$30,000",,,$30
12312,University of Washington (UW),Computer Science and Engineering,"$8,100",0.35,2020-2021,2nd,,,"$3,100","$5,000",
12313,University of Wisconsin - Madison (UW),Astronomy,"$32,420",1.42,2020-2021,4th,,"$33,300",,,$880
12314,University of California - Los Angeles (UCLA),Psychology,"$26,840",1.04,2020-2021,4th,,"$27,000",,,$160
12315,University of Wisconsin - Madison (UW),Astronomy,"$27,200",1.19,2020-2021,5th,,"$29,000",,,"$1,800"
12316,University of Illinois - Chicago (UIC),Psychology,"$22,615",0.93,2020-2021,1st,,,"$20,615","$4,000","$2,000"
12317,University of Rochester (UR),Psychology,"$23,000",1.08,2019-2020,,estimate,"$25,000",,,"$2,000"
12318,Stony Brook University - SUNY,Clinical psychology,"$22,350",0.80,2020-2021,4th,,"$22,500",,,$150
12319,University of Washington (UW),Computer Science and Engineering,"$28,116",1.21,2020-2021,1st,,,"$28,116",,
12320,University of Wisconsin - Madison (UW),Scandinavian Studies,"$22,740",1.00,2021-2022,1st,"University Fellowship. Rent 1000-1200/month unless you share with 4 roommates, then 500-800. <span class=""truncated""> Insurance premiums ~25/month, taxes not withheld, COL is in my opinion rapidly rising and comparable to what I&#39;ve seen in Seattle. There are extra work opportunities and funding, but they are variable.</span>",,"$22,860",,$120
12321,University of Wisconsin - Madison (UW),GNS+,"$22,740",1.00,2021-2022,1st,,,"$22,860",,$120
12322,Iowa State University (ISU),Psychology,"$18,600",0.88,2020-2021,1st,,,"$19,000",,$400
12323,University of Oregon (UO),Psychology ,"$2,820",0.13,2020-2021,3rd,,,"$2,170",$650,
12324,Harvard University (HU),Health Policy,"$32,088",1.12,2021-2022,5th,"We receive a stipend years 1, 2 and 5 (or 6, depending on when you defend your PhD). No funding in <span class=""truncated""> years 3 and 4. No teaching or RA top-ups, no summer funding. </span>",,"$32,088",,
12325,University of Pennsylvania,School of Social Policy &amp; Practice ,"$32,979",1.37,2022-2023,1st,,,"$32,979",,
12326,University of California - Los Angeles (UCLA),Community Health Sciences,"$58,000",2.24,2020-2021,,,,"$52,000","$6,000",
12327,Columbia University (CU) - Teachers College,Clinical Psychology,"$21,000",,2020-2021,2nd,,"$25,000",,,"$4,000"
12328,University of Kansas (KU),Communication Studies,"$17,750",0.87,2020-2021,6th and up,"Required campus fees are approx $250, but since I am dissertating I only have to enroll in 1 credit <span class=""truncated""> hour and don’t have to pay campus fees. Every other year you have to pay fees. </span>","$17,750",,,
12329,Northwestern University (NU),McCormick School of Engineering,"$35,196",1.45,2022-2023,3rd,University fellowship,"$35,196",,,
12330,University of Massachusetts - Amherst (UMass),Communication,"$26,400",1.15,2021-2022,1st,,,"$23,000","$5,000","$1,600"
12331,University of Wisconsin - Madison (UW),Computer Science,"$21,597",0.95,2021-2022,1st,,"$22,550",,,$953
12332,University of Connecticut (UConn),Linguistics ,"$22,300",0.92,2020-2021,1st,,,"$23,900",,"$1,600"
12333,University of Massachusetts - Lowell (UML),Criminology,"$18,000",0.64,2021-2022,1st,,,"$15,000","$3,000",
12334,University of California - Davis (UCD),Chemistry,"$30,900",1.29,2020-2021,4th,,"$30,900",,,
12335,University of North Carolina - Chapel Hill (UNC),Epidemiology,"$25,320",1.14,2020-2021,2nd,,"$25,320",,,
12336,,Second Language Acquisition ,"$24,250",,2021-2022,2nd,,"$25,000",,,$750
12337,University of Wisconsin - Madison (UW),Second Language Acquisition ,"$24,250",1.06,2021-2022,2nd,,"$25,000",,,$750
12338,Pennsylvania State University (Penn State),Management and Organizations,"$30,000",1.34,2021-2022,1st,80% healthcare,"$30,000",,,
12339,American University (AU),Masters in Public Policy ,"$9,600",0.31,2022-2023,,,,"$9,600",,
12340,University of Notre Dame (ND),Electrical Engineering,"$35,850",1.75,2020-2021,5th,,"$36,000",,,$150
12341,University of the Sciences in Philadelphia,Pharmaceutics,"$21,500",0.89,2022-2023,1st,Health Insurance is covered ,"$21,500",,,
12342,Pennsylvania State University (Penn State),Geography,"$21,000",0.94,2022-2023,,,,"$21,000",,
12343,University of North Carolina - Greensboro (UNCG),Human Development and Family Studies,"$20,100",0.94,2020-2021,3rd,"MS base stipends are $16K, PhD base stipends are $16.5K.  A lot of scholarship money and summer <span class=""truncated""> funding (to work on faculty grants or teach for the department).  Scholarships help cover the cost of the fees and most students who apply get them. Students can also apply for $2k summer assistantship to fund their own work on their thesis or dissertation research; most who apply get the award. The Graduate School has some competitive fellowships that some students get and that bumps their 9 month payout up to $26 - $32k depending on the year.</span>",,"$16,500","$6,000","$2,400"
12344,George Mason University (GMU),Psychology,"$20,000",0.66,2020-2021,3rd,,,"$20,000",,
12345,University of Pennsylvania,Graduate School of Education,"$35,814",1.49,2021-2022,1st,Includes health insurance and half of dental insurance,,"$29,302","$6,512",
12346,University of North Texas (UNT),Biology,"$25,690",1.19,2020-2021,1st,,,"$19,990","$5,700",
12347,Pennsylvania State University (Penn State),Biomedical Engineering ,"$24,504",1.09,2022-2023,1st,,"$24,504",,,
12348,Penn State,Management and Organizations,"$30,000",,2021-2022,1st,80% healthcare,"$30,000",,,
12349,University of Rochester (UR),Physics,"$27,990",1.31,2021-2022,6th and up,fuck it sucks,"$28,000",,,$10
12350,University of Massachusetts - Amherst (UMass),Sociology,"$23,000",1.00,2021-2022,1st,,,"$23,000","$2,000","$2,000"
12351,University of Maryland - College Park (UMD),SLA,"$22,880",0.76,2020-2021,1st,,,"$23,780",,$900
12352,Indiana University- Purdue University - Indianapolis (IUPUI),Psychology/Addiction Neuroscience,"$25,400",1.23,2020-2021,5th,,,"$24,000","$3,000","$1,600"
12353,University of Southern California (USC),Marshall ,"$40,000",1.55,2022-2023,1st,,"$40,000",,,
12354,Brown University,Philosophy,"$39,153",1.72,2022-2023,1st,,"$39,153",,,
12355,Syracuse University,Physics,"$23,897",1.12,2022-2023,1st,,"$27,326",,,"$3,429"
12356,Virginia Tech,Physics,"$19,681",0.93,2022-2023,1st,,,"$21,384","$7,278","$8,981"
12357,Virginia Tech,Physics,"$25,413",1.21,2022-2023,1st,,,"$21,384","$7,278","$3,249"
12358,University of Hawaii - Manoa (UH),physics,"$18,030",0.59,2021-2022,1st,,"$18,930",,,$900
12359,University of Virginia (UVA),Biomedical Engineer,"$32,500",1.42,2022-2023,1st,,"$32,500",,,
12360,Columbia University (CU),Sipa,"$-41,000",-1.38,2022-2023,1st,,,"$25,000",,"$66,000"
12361,Columbia University (CU),Sipa,"$-41,000",-1.38,2020-2021,1st,,"$25,000",,,"$66,000"
12362,Florida International University (FIU),Political Science,,0.00,2022-2023,1st,,,,,
12363,University at Buffalo - SUNY,Biological sciences ,"$28,200",1.34,2020-2021,6th and up,,"$29,000",,,$800
12364,Colorado State University (CSU),Anthropology,"$21,500",0.96,2022-2023,1st,,,"$23,500",,"$2,000"
12365,Tulane University (TU),Political Science,"$23,000",1.00,2022-2023,1st,,,"$25,000",,"$2,000"
12366,Massachusetts Institute of Technology (MIT),,"$41,670",1.49,2022-2023,6th and up,,"$41,856",,,$186
12367,,,"$41,670",,2022-2023,6th and up,,"$41,856",,,$186
12368,Fordham University (FU),Clinical Psychology,"$24,600",0.83,2021-2022,1st,,,"$25,000",,$400
12369,Indiana University,English,"$17,200",0.80,2022-2023,1st,,,"$18,000",,$800
12370,Johns Hopkins University (JHU),Chemistry,"$32,470",1.26,2022-2023,1st,,"$32,470",,,
12371,University of Georgia (UGA),Chemsitry,"$21,800",1.03,2020-2021,,,"$26,000",,,"$4,200"
12372,University of Notre Dame (ND),Anthropology,"$33,000",1.61,2022-2023,1st,Full tuition coverage,"$33,000",,,
12373,University of Minnesota - Twin Cities (UM),Bioinformatics and Computational Biology,"$21,000",0.92,2022-2023,1st,,"$21,000",,,
12374,University of California - San Diego (UCSD),Economics,"$30,000",1.13,2021-2022,1st,,"$30,000",,,
12375,Boston University (BU),Psychological and Brain Sciences (BBC),"$37,000",1.29,2020-2021,2nd,,"$37,000",,,
12376,University of Illinois - Chicago (UIC),Disability Studies ,,0.00,2020-2021,1st,,,,,
12377,North Carolina State University (NCSU),Statistics,"$18,500",0.81,2020-2021,1st,,,"$19,800",,"$1,300"
12378,Colorado State University (CSU),chemistry,"$25,225",1.12,2022-2023,1st,,"$26,525",,,"$1,300"
12379,University of Pennsylvania,School of Social Policy &amp; Practice ,"$39,615",1.64,2022-2023,1st,"Recipient of Presidential PhD fellowship which lasts for 3 years. Initial
stipend offer was $32,979","$39,615",,,
12380,University of Texas - Austin (UT),Political Science,"$30,000",1.31,2022-2023,1st,"9-month stipend @ $26k, summer funding of $4k-$5k  guaranteed all but 2 summers, but getting summer <span class=""truncated""> funding is standard, you just gotta apply for it before the summer</span>",,"$26,000","$4,000",
12381,University of Florida (UF),ECE,"$30,000",1.32,2021-2022,,,"$30,000",,,
12382,University of North Carolina - Greensboro (UNCG),Human Development and Family Studies ,"$14,600",0.68,2022-2023,1st,,,"$16,000",,"$1,400"
12383,Johns Hopkins University (JHU),SAIS,"$-53,652",-2.09,2022-2023,1st,,"$7,500",,,"$61,152"
12384,Stanford University (SU),Electrical Engineering,"$50,200",1.75,2021-2022,1st,3 years fellowship,"$50,200",,,
12385,University of California - Santa Barbara (UCSB),bren ,"$32,000",1.22,2020-2021,1st,,"$32,000",,,
12386,North Carolina State University (NCSU),English / Linguistics ,"$7,600",0.33,2020-2021,2nd,"Base stipend is $10,000 per year 
$1200 semester fees (going up each year) 
1st year: received <span class=""truncated""> extra $2500
2nd year: received extra $500 
This is for MA program 
Opportunities to earn extra for hourly work during semester and summer </span>",,"$10,000",,"$2,400"
12387,George Washington University (GW),English,"$26,000",0.84,2022-2023,1st,1:1 6 year last year no teaching ,,"$27,500",,"$1,500"
12388,Clemson University (CU),RCID,"$18,500",0.89,2022-2023,1st,2:2 4 years,,"$20,000",,"$1,500"
12389,University of Virginia (UVA),Philosophy,"$26,000",1.14,2022-2023,,,"$26,000",,,
12390,University of Michigan - Ann Arbor (UM),Aerospace engineering,"$35,000",1.52,2021-2022,1st,,"$35,000",,,
12391,Cornell University (CU),Aerospace engineering,"$35,000",1.44,2021-2022,1st,,"$35,000",,,
12392,Brown University,History ,"$40,000",1.76,2022-2023,1st,"Stipend rounded, student fees, health, and dental insurance are covered by the university. ","$40,000",,,
12393,University of California - Davis (UCD),Biostatistics,"$22,000",0.92,2022-2023,1st,Initial offer made. ,,"$22,000",,
12394,University of Arizona (U of A),Sociology,"$20,500",0.99,2022-2023,1st,"I have the option to teach during the summer because I have my Master&#39;s Degree (and teaching <span class=""truncated""> experience). </span>",,"$20,500",,
12395,Northwestern University (NU),Linguistics,"$35,067",1.45,2020-2021,4th,,"$35,196",,,$129
12396,University of Michigan - Ann Arbor (UM),Engineering,"$34,800",1.51,2021-2022,1st,,"$34,800",,,
12397,Stony Brook University - SUNY,Computer Science,"$37,750",1.35,2021-2022,1st,"TA for the academic year ($22500), Summer RA ($11000), Chairman&#39;s Fellowship ($5000)",,"$22,500","$16,000",$750
12398,North Carolina State University (NCSU),Computer Science,"$28,500",1.25,2021-2022,1st,,"$33,000",,,"$4,500"
12399,Stony Brook University - SUNY,Computer Science,"$37,700",1.35,2021-2022,1st,,"$38,500",,,$800
12400,Pennsylvania State University (Penn State),Geography ,"$27,720",1.23,2020-2021,2nd,,,"$20,790","$6,930",
12401,University of California - Davis (UCD),ECE,"$1,998",0.08,2021-2022,1st,,,"$2,148",,$150
12402,University of Hawaii - Manoa (UH),History,"$19,686",0.65,2022-2023,2nd,,,"$19,686",,
12403,University of Kansas (KU),Ecology and Evolutionary Biology,"$18,450",0.90,2022-2023,1st,,,"$18,700",,$250
12404,Massachusetts Institute of Technology (MIT),Computer Science,"$1,980,000",70.90,2020-2021,1st,,"$2,000,000",,,"$20,000"
12405,University of Maryland - College Park (UMD),Human Development,"$24,366",0.81,2021-2022,2nd,,,"$21,000","$5,000","$1,634"
12406,Cornell University (CU),Plant Breeding and Genetics,"$38,119",1.57,2022-2023,1st,"$28654 academic year stipend, $9551 summer stipend.
Package also covers tuition and health <span class=""truncated""> insurance premiums. Graduate student activity fee $43 per semester. </span>","$38,205",,,$86
12407,Columbia University (CU),Political Science,"$-52,000",-1.75,2022-2023,1st,,,"$8,000",,"$60,000"
12408,University of Colorado - Boulder (UCB),Environmental Studies,"$22,500",0.88,2021-2022,2nd,,,"$24,000",,"$1,500"
12409,Cornell University (CU),"Genetics, Genomics, and Development (GGD)","$40,117",1.65,2022-2023,1st,,"$40,117",,,
12410,Brown University,Epidemiology,"$39,153",1.72,2022-2023,1st,Plus an additional $1200 supplemental stipend for first years. ,"$39,153",,,
12411,Princeton University,philosophy ,"$45,000",1.77,2022-2023,1st,,"$45,000",,,
12412,University of Texas - Dallas (UTD),Public management,"$36,000",1.67,2022-2023,1st,,,"$36,000",,
12413,Duke University (DU),Fuqua,"$37,000",1.66,2021-2022,4th,,"$37,000",,,
12414,Duke University (DU),Fuqua,"$37,000",1.66,2021-2022,4th,,"$37,000",,,
12415,,Institute of Higher Education,"$30,000",,2022-2023,1st,"PHD - Research Assistantship: 
$30,000/12 months
Tuition remission
Health insurance included","$30,000",,,
12416,,Institute of Higher Education,"$30,000",,2022-2023,1st,"Research Assistantship: 
$30,000/12 months
Tuition remission
Health insurance included","$30,000",,,
12417,Arizona State University (ASU),School of Life Sciences,"$24,320",1.10,2022-2023,1st,,"$25,320",,,"$1,000"
12418,University of Georgia (UGA),Institute of Higher Education,"$30,000",1.42,2022-2023,1st,Research Assistantship,"$30,000",,,
12419,University of Maryland - College Park (UMD),Physics,"$35,105",1.16,2022-2023,1st,,"$35,105",,,
12420,University of Texas - Austin (UT),Physics,"$29,856",1.31,2022-2023,1st,,"$29,856",,,
12421,Yale University (YU),Applied Physics,"$37,950",1.54,2022-2023,1st,,"$37,950",,,
12422,Cornell University (CU),Applied Physics,"$41,666",1.72,2022-2023,1st,,"$41,666",,,
12423,Cornell University (CU),Applied Physics,"$37,999",1.57,2022-2023,2nd,,"$37,999",,,
12424,University of California - Berkeley,Education ,"$34,000",1.22,2022-2023,1st,,"$34,000",,,
12425,University of Southern California (USC),Epidemiology ,"$38,000",1.47,2022-2023,1st,+ health insurance and tuition,"$38,000",,,
12426,Bowling Green State University (BGSU),Psychology ,"$12,000",0.64,2020-2021,2nd,,"$14,000",,,"$2,000"
12427,University of Notre Dame (ND),Sociology,"$29,000",1.42,2021-2022,3rd,,"$29,000",,,
12428,University of North Carolina - Chapel Hill (UNC),Biological Sciences,"$33,000",1.48,2022-2023,1st,,"$33,000",,,
12429,Boston University (BU),Biology,"$36,782",1.28,2020-2021,1st,,"$36,782",,,
12430,union,,"$64,000",,2020-2021,,,"$64,000",,,
12431,University of California - Irvine (UCI),Anthropology,"$28,000",0.96,2022-2023,,,"$28,000",,,
12432,Georgetown University,Arabic and Islamic Studies,"$43,264",1.40,2020-2021,1st,5 year fellowship,"$43,264",,,
12433,University of Virginia (UVA),System Engineering,"$27,000",1.18,2022-2023,1st,,"$27,000",,,
12434,University of Pittsburgh,BME,"$30,000",1.45,2020-2021,5th,,"$30,000",,,
12435,Northwestern University (NU),electrical engineering,"$35,000",1.44,2020-2021,1st,,"$35,000",,,
12436,University of Southern California (USC),Sociology,"$32,500",1.26,2022-2023,1st,,,"$32,500",,
12437,University of Rhode Island (URI),physics,"$23,428",1.03,2022-2023,1st,,,"$20,000","$5,000","$1,572"
12438,University of South Carolina (USC),Chemical Engineering ,"$30,000",1.33,2022-2023,1st,,"$30,000",,,
12439,University of California - Irvine (UCI),"criminology, law and society","$22,396",0.77,2021-2022,1st,,"$23,246",,,$850
12440,McGill University,PhD in Electrical Engineering,"$12,000",,2021-2022,2nd,,"$32,000",,,"$20,000"
12441,University of New Hampshire (UNH),Biology,"$27,498",1.16,2022-2023,1st,"PhD offer, health care is included",,"$22,260","$7,420","$2,182"
12442,University of Georgia (UGA),Odum School of Ecology,"$26,030",1.23,2022-2023,1st,"PhD offer, summers not guaranteed by department but advisor offered at least two summers worth. <span class=""truncated""> Fees do NOT include healthcare, which you have to pay 50% of, which is an additional $1817</span>",,"$21,240","$7,080","$2,290"
12443,University of Michigan - Ann Arbor (UM),Ecology and Evolutionary Biology,"$30,892",1.34,2020-2021,1st,"PhD offer, increases to $34,816 after candidacy ","$30,892",,,
12444,University of California - San Diego (UCSD),Biomedical Science BMS,"$34,500",1.30,2021-2022,1st,,"$34,500",,,
12445,University of California - Davis (UCD),Sociology,"$23,460",0.98,2021-2022,3rd,,,"$24,000",,$540
12446,Boston College,Management,"$35,875",,2022-2023,1st,Insurance paid for. ,"$35,875",,,
12447,Princeton University,Electrical and Computer Engineering,"$48,000",1.89,2022-2023,1st,,"$48,000",,,
12448,University of Wyoming (UW),Clinical Psychology,"$20,645",0.99,2022-2023,,,,"$17,145","$3,800",$300
12449,Iowa State University (ISU),Electrical Engineering,"$24,550",1.16,2020-2021,2nd,,"$25,200",,,$650
12450,Northeastern University (NU),Sociology,"$39,000",1.36,2022-2023,,,"$39,000",,,
12451,University of Maryland - Baltimore County (UMBC),Human Centered Computing,"$24,800",0.96,2021-2022,1st,,"$26,400",,,"$1,600"
12452,Columbia University (CU),Psychology,"$41,127",1.38,2021-2022,4th,,,"$31,140","$10,077",$90
12453,University of California - San Diego (UCSD),Communication,"$15,000",0.57,2020-2021,,,,"$23,000","$7,000","$15,000"
12454,University of Montana (UM),Ecology &amp; Evolution,"$26,000",1.19,2020-2021,1st,,"$26,000",,,
12455,University of Texas - Austin (UT),Sociology ,"$23,000",1.01,2021-2022,1st,Summer funding is given for the first two summers and we have to teach every semester. ,,"$20,000","$3,000",
12456,University of Minnesota - Twin Cities (UM),Chemical Engineering and Materials Science,"$34,000",1.48,2022-2023,1st,,"$34,000",,,
12457,University of Colorado - Denver (UCD),Molecular Biology,"$34,000",1.52,2021-2022,3rd,,"$34,000",,,
12458,Washington State University (WSU),Marketing ,"$25,000",1.32,2020-2021,1st,,"$25,000",,,
12459,University of Texas - Austin (UT),Business,"$42,000",1.84,2022-2023,1st,,"$42,000",,,
12460,Purdue University - West Lafayette,Mathematics ,"$19,800",0.94,2022-2023,1st,,,"$19,977",,$177
12461,University of California - Berkeley,Sociology,"$31,000",1.12,2022-2023,1st,,"$31,000",,,
12462,New York University (NYU),Global Public Health ,"$32,000",1.08,2022-2023,1st,"$32k over 9 months. Negotiated with advisors and agreed on guaranteed summer 15 weeks full time RA <span class=""truncated""> for additional $13k/yr.</span>",,"$32,000",,
12463,Columbia University (CU),,"$25,000",0.84,2022-2023,1st,,"$25,000",,,
12464,Johns Hopkins University (JHU),Computer Science,"$38,500",1.50,2022-2023,1st,,"$38,500",,,
12465,Purdue University - West Lafayette,Chemical Engineering,"$32,500",1.54,2022-2023,1st,,"$32,500",,,
12466,Duke University (DU),Romance Studies,"$33,200",1.49,2022-2023,1st,,"$33,200",,,
12467,,Biophysics,"$33,900",,2021-2022,1st,,"$33,900",,,
12468,University of California - Davis (UCD),Biophysics,"$33,900",1.41,2021-2022,1st,,"$33,900",,,
12469,Georgetown University,MA American Government and Political Science,"$7,074",0.23,2022-2023,1st,,"$7,074",,,
12470,University of Massachusetts - Amherst (UMass),sport ,"$27,700",1.21,2020-2021,1st,,,"$26,000","$2,300",$600
12471,University of Illinois - Urbana- Champaign (UIUC),Natural Resources and Environmental Sciences,"$24,431",1.11,2022-2023,1st,,"$24,431",,,
12472,University of Wisconsin - Madison (UW),Mathematics,"$22,330",0.98,2020-2021,1st,3000 summer fellowship for 1st year + optional Summer TA  each summer (Between $5000-$8000).,,"$23,930",,"$1,600"
12473,University of California - Irvine (UCI),Psychological Science,"$28,000",0.96,2021-2022,1st,,"$28,000",,,
12474,University of Louisville (U of L),Clinical Psychology,"$21,000",1.02,2021-2022,4th,,"$22,000",,,"$1,000"
12475,University of Louisville (U of L),Clinical Psychology,"$21,000",1.02,2021-2022,4th,,"$22,000",,,"$1,000"
12476,University of Illinois - Chicago (UIC),Educational Policy Studies,"$10,993",0.45,2020-2021,6th and up,,,"$11,483",,$490
12477,University of California - Berkeley,Bioengineering,"$44,000",1.58,2022-2023,1st,,"$44,000",,,
12478,University of California - San Diego (UCSD),Business,"$38,600",1.46,2021-2022,,,"$38,600",,,
12479,University of Virginia (UVA),Psychology,"$24,000",1.05,2021-2022,5th,,"$24,000",,,
12480,Pennsylvania State University (Penn State),architecture,"$32,000",1.42,2022-2023,1st,,,"$67,000",,"$35,000"
12481,Cornell University (CU),English,"$36,000",1.48,2022-2023,1st,,"$36,000",,,
12482,UCLA,Materials Science,"$31,500",,2021-2022,1st,,"$31,500",,,
12483,University of Minnesota - Twin Cities (UM),"Biochemistry, Molecular biology and Biophysics","$36,400",1.59,2022-2023,1st,,"$36,400",,,
12484,University of Alabama at Birmingham (UAB),Physics,"$24,000",,2020-2021,1st,,"$24,000",,,
12485,University of Texas - Austin (UT),Communication,"$29,000",1.27,2022-2023,1st,,,"$29,000",,
12486,University of Wisconsin - Madison (UW),English,"$19,600",0.86,2020-2021,4th,(I did some rounding since TA and PA rates and fees vary by position/year.),,"$20,000",,$400
12487,University of Virginia (UVA),History,"$26,000",1.14,2022-2023,5th,,"$26,000",,,
12488,University of Nebraska - Omaha (UNO),Criminology,"$26,000",1.28,2022-2023,1st,,,"$20,000","$6,000",
12489,North Dakota State University (NDSU),Developmental Science ,"$12,500",0.65,2022-2023,1st,,"$12,500",,,
12490,Cornell University (CU),Biomedical Engineering,"$43,500",1.79,2021-2022,3rd,Increased stipend because lab is located to Weill Cornell in NYC. Tuition and insurance is covered. ,"$43,500",,,
12491,University of California - Davis (UCD),Chemical Engineering,"$33,205",1.38,2021-2022,1st,,"$33,355",,,$150
12492,University of California - Davis (UCD),Materials Science and Engineering,"$33,205",1.38,2021-2022,1st,,"$33,355",,,$150
12493,University of Rochester (UR),Biomedical Engineering,"$30,459",1.42,2020-2021,2nd,International Student fee. ,"$30,459",,,
12494,George Mason University (GMU),System Biology,"$22,000",0.73,2021-2022,2nd,,,"$22,000",,
12495,Princeton University,East Asian Studies,"$45,600",1.79,2022-2023,1st,"5-year package, no teaching obligation. Plus a first-year grant $3,000. Tuition &amp; health fees paid <span class=""truncated""> in full, valued at $60,410.</span>","$45,600",,,
12496,Harvard University (HU),History of Science,"$38,508",1.34,2022-2023,1st,"5-year package, including 2- year teaching fellowship. Tuition &amp; health fees paid in full, valued <span class=""truncated""> at $57,840.</span>",,"$32,090","$6,418",
12497,Harvard University (HU),History of Science,"$38,508",1.34,2022-2023,1st,,,"$32,090","$6,418",
12498,Arizona State University (ASU),School of Life Sciences/Biology and Society,"$24,870",1.12,2021-2022,1st,"One time fellowship in the amount of $2,500 to be received at the start of the program in the fall.","$25,320",,,$450
12499,Brown University,"Earth, Environmental and Planetary Sciences","$44,000",1.93,2022-2023,1st,,"$44,000",,,
12500,University of Wisconsin - Madison (UW),Curriculum &amp; Instruction,"$19,777",0.87,2020-2021,2nd,"This is for a 50% split appointment (33% TA, 17% clinical field supervision)",,"$20,500",,$723
12501,University at Albany - SUNY,,"$20,000",0.88,2022-2023,,,,"$20,000",,
12502,University of Florida (UF),Social Psychology,"$18,400",0.81,2021-2022,1st,"700 fees per semester
120 parking ticket per year",,"$19,100",,$700
12503,University of California - Los Angeles (UCLA),Bioengineering ,"$36,000",1.39,2021-2022,4th,,"$36,000",,,
12504,University of California - Los Angeles (UCLA),Community Health Sciences,"$27,311",1.06,2022-2023,1st,"3-year package with varying terms for each year; $15k stipend for first year and nonresident <span class=""truncated""> tuition covered, stipend plus $12k TA or research position for second year, and TA/research position only for third year. In-state tuition, fees, and insurance covered for all three years. Optional positions and funding opportunities for first and 4th+ years.</span>",,"$27,311",,
12505,George Washington University (GW),Social and Behavioral Sciences,"$25,000",0.81,2022-2023,1st,"University fellowship covering tuition  and health insurance with $20k stipend for 8 months and <span class=""truncated""> guaranteed $5k TA position per year for 10 hrs/wk. Also have the option of taking an addition 10 hrs/wk position within department or replacing the TA with a 20 hrs/wk department position, but not guaranteed. </span>",,"$25,000",,
12506,Columbia University (CU),Sociomedical Sciences,"$45,320",1.52,2022-2023,1st,"Estimated 12-month stipend including teaching and research rotations. Tuition, fees, health <span class=""truncated""> insurance, and 75% of dental insurance covered. Five year funding package but expected to apply for external funding in later years.</span>","$45,320",,,
12507,Columbia University (CU),Sociomedical Sciences,"$45,320",1.52,2022-2023,1st,"Estimated 12-month stipend including teaching and research rotations. Tuition, fees, health <span class=""truncated""> insurance, and 75% of dental insurance covered. Five year funding package but expected to apply for external funding in later years.</span>","$45,320",,,
12508,Stony Brook University - SUNY,Genetics,"$41,000",1.47,2022-2023,1st,,"$41,000",,,
12509,University of Chicago (UC),Classics,"$30,500",1.26,2021-2022,1st,,"$32,000",,,"$1,500"
12510,American University (AU),History,"$22,670",0.73,2022-2023,1st,,,"$23,000",,$330
12511,Emory University,Economics,"$31,591",1.36,2022-2023,1st,"100% Tuition scholarship (valued at $68,700), 100% Health Insurance premium (valued at $4,018). You <span class=""truncated""> must pay a one-time transcript fee of $70, after which transcripts are free.</span>","$32,728",,,"$1,137"
12512,Ohio State University (OSU),English: MFA,"$36,000",1.79,2021-2022,4th,,"$36,000",,,
12513,Temple University (TU),Psychology,"$27,461",1.14,2021-2022,3rd,,"$27,787",,,$326
12514,Colorado State University (CSU),"Microbiology, Immunology, Pathology","$28,543",1.27,2022-2023,2nd,,"$30,000",,,"$1,457"
12515,University of Wisconsin - Madison (UW),English,"$23,215",1.02,2020-2021,4th,,,"$24,000",,$785
12516,University of Pennsylvania,Psychology,"$32,000",1.33,2021-2022,,,"$32,000",,,
12517,Ohio State University (OSU),Landscape Architecture,"$29,500",1.47,2022-2023,1st,,"$30,000",,,$500
12518,Ohio State University (OSU),Landscape Architecture,"$2,285",0.11,2022-2023,1st,,"$2,535",,,$250
12519,University of Utah,geography,"$30,000",1.35,2022-2023,1st,,"$30,000",,,
12520,University of Southern California (USC),Earth Science,"$37,500",1.45,2022-2023,1st,"$32,500 university basic stipend plus a $5,000 top-up from USC Earth Sciences endowments","$37,500",,,
12521,Boston University (BU),Statistics,"$37,702",1.32,2022-2023,1st,,"$37,702",,,
12522,Pennsylvania State University (Penn State),ist,"$23,490",1.05,2022-2023,1st,,"$23,490",,,
12523,Stony Brook University - SUNY,Political science,"$26,600",0.95,2020-2021,4th,"The program pays 20 weeks, but after 3rd year one can choose to teach in summer/winter to get 3500 <span class=""truncated""> extra. (the number listed included the extra 3500)</span>","$27,000",,,$400
12524,Villanova University,ECE,"$27,300",,2021-2022,1st,,"$28,000",,,$700
12525,University of Wisconsin - Madison (UW),"German, Nordic, and Slavic","$19,647",0.86,2021-2022,1st,,,"$20,500",,$853
12526,Portland State University (PSU),Math,"$14,733",0.63,2020-2021,3rd,,,"$14,733",,
12527,University of Maryland - College Park (UMD),Philosophy ,"$23,000",0.76,2022-2023,1st,,"$23,000",,,
12528,University of Wisconsin - Madison (UW),Statistics,"$28,000",1.23,2021-2022,5th,,,"$25,000","$3,000",
12529,University of Wisconsin - Madison (UW),Information School,"$44,177",1.93,2021-2022,1st,Segregated fees are paid out of our pockets,,"$45,100",,$923
12530,Northwestern University (NU),Civil and Environmental Engineering,"$35,196",1.45,2022-2023,1st,+ 1500 relocation incentive,"$35,196",,,
12531,University of Cincinnati (UC),Biomedical science,"$28,000",1.45,2020-2021,1st,,"$28,000",,,
12532,West Virginia University (WVU),Department of physics and astronomy,"$28,700",1.29,2021-2022,6th and up,,"$31,500",,,"$2,800"
12533,University of Wisconsin - Madison (UW),Sociology ,"$19,400",0.85,2020-2021,2nd,,"$21,000",,,"$1,600"
